timestamp,type,source,decision,score,edge,legs,reasons,risk_flags
2026-02-19T04:46:18.629607Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:34:20.941884Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:34:41.624210Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:35:12.194331Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:39:07.016318Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:44:07.016857Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:49:07.017550Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:54:08.142349Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T06:59:08.417359Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T07:04:08.675275Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T07:09:08.931629Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T07:09:12.276849Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T07:09:30.945752Z,arb_validate,polymarket,ACCEPT,0,0.05,2,One-of-many: 2 YES outcomes sum to 0.93 | Edge: 7.00%,
2026-02-19T07:13:52.267511Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:14:22.701665Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:19:22.961194Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:19:55.233397Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:20:00.426499Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:20:36.389811Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:21:16.861803Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:25:31.636360Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:25:37.944965Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:25:53.531070Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:30:53.984916Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:31:33.177882Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:31:39.148578Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:31:56.469698Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:32:55.168282Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:37:55.630779Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:42:55.631667Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:47:55.632562Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:52:55.633343Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T07:57:55.634060Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:03:05.850055Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:08:06.350853Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:13:06.351623Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:18:06.352367Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:23:06.353147Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:28:06.353909Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:33:13.392990Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:34:23.282998Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:39:23.786559Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:44:23.787273Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:49:23.787948Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:54:23.788842Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T08:59:23.789699Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:04:34.571116Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:09:35.078396Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:14:35.079199Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:19:35.079903Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:24:35.080954Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:29:35.082267Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:35:04.828888Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:40:05.073605Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:45:05.074387Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:50:05.075134Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T09:55:05.075931Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:00:05.076717Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:05:12.128533Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:05:54.936450Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:10:55.380162Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:15:55.380946Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:20:55.381790Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:25:55.382553Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:30:55.383315Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:36:08.835668Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:41:09.148423Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:46:09.149267Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:51:09.150236Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T10:56:09.151184Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
2026-02-19T11:01:09.152158Z,arb_validate,polymarket,ACCEPT,0,0.05,2,Net edge OK: 5.0% | Cluster: election_2028,
